Nunery and Keeton StandID,FIA Database StandID,Concat_Plot,Reported Years (10 stands highlighted are the ones we'll be using)
2320030702501505,0023200105030702501505,23_7_25_1505,"2001, 2006, 2011, 2016"
2320030702502686,0023200205040702502686,23_7_25_2686,"2002, 2007, 2012, 2017"
2320030900702261,N/A,23_9_07_2261,
2320030900703046,0023200305050900703046,23_9_07_3046,2003-2018
2320030900703313,0023200305050900703313,23_9_07_3313,2003-2018
2320030900703677,0023200305050900703677,23_9_07_3677,2003-2018
2320030901700110,N/A,23_9_17_0110,
2320030901700852,0023200105030901700852,23_9_17_0852,2001-2016
2320030901701013,0023200105030901701013,23_9_17_1013,2001-2016
2320030901702963,0023200305050901702963,23_9_17_2963,2003-2018
3320050200300163,0033200206010200300163,33_2_03_0163,2002-2018
3320050200700781,0033200206010200700781,33_2_07_0781,2002-2013
3320050200900018,0033200406030200900018,33_2_09_0018,2004-2014
3320050200900904,0033200206010200900904,33_2_09_0904,2002-2019
3620040303506767,0036200305020303506767,36_3_35_6767,
3620040304303762,0036200305020304303762,36_3_43_3762,
3620040304303966,0036200305020304303966,36_3_43_3966,
3620040403101088,0036200205010403101088,36_4_31_1088,
3620040403102007,0036200305020403102007,36_4_31_2007,
3620040403102851,0036200205010403102851,36_4_31_2851,
3620040403105127,0036200305020403105127,36_4_31_5127,
3620040403105218,0036200305020403105218,36_4_31_5218,
3620040404102413,0036200305020404102413,36_4_41_2413,
3620040404102456,0036200205010404102456,36_4_41_2456,
3620040404102703,0036200305020404102703,36_4_41_2703,
3620040404104669,0036200205010404104669,36_4_41_4669,
3620040404106138,0036200305020404106138,36_4_41_6138,
3620040411302486,0036200205010411302486,36_4_13_2486,
3620040411305029,0036200305020411305029,36_4_13_5029,
5020050200900479,0050200506030200900479,50_2_09_0479,2005-2016
5020050201701120,0050200406020201701120,50_2_17_1120,2004-2014
5020050202300275,0050200406020202300275,50_2_23_0275,2004-2014